D,EDD_order,P,SPT_order,d_by_rank,d_multiset,instance_id,n,p_by_rank,tau_den,tau_num
16,"[1,3,4,2]",10,"[1,2,3,4]","[1,8,3,4]","[1,3,4,8]",n4_o025_r0641,4,"[1,2,3,4]",5,3
16,"[1,4,3,2]",10,"[1,2,3,4]","[1,8,4,3]","[1,3,4,8]",n4_o025_r0642,4,"[1,2,3,4]",5,3
16,"[2,1,3,4]",10,"[1,2,3,4]","[3,1,4,8]","[1,3,4,8]",n4_o025_r0643,4,"[1,2,3,4]",5,3
16,"[2,1,4,3]",10,"[1,2,3,4]","[3,1,8,4]","[1,3,4,8]",n4_o025_r0644,4,"[1,2,3,4]",5,3
16,"[3,1,2,4]",10,"[1,2,3,4]","[3,4,1,8]","[1,3,4,8]",n4_o025_r0645,4,"[1,2,3,4]",5,3
16,"[4,1,2,3]",10,"[1,2,3,4]","[3,4,8,1]","[1,3,4,8]",n4_o025_r0646,4,"[1,2,3,4]",5,3
16,"[3,1,4,2]",10,"[1,2,3,4]","[3,8,1,4]","[1,3,4,8]",n4_o025_r0647,4,"[1,2,3,4]",5,3
16,"[4,1,3,2]",10,"[1,2,3,4]","[3,8,4,1]","[1,3,4,8]",n4_o025_r0648,4,"[1,2,3,4]",5,3
16,"[2,3,1,4]",10,"[1,2,3,4]","[4,1,3,8]","[1,3,4,8]",n4_o025_r0649,4,"[1,2,3,4]",5,3
16,"[2,4,1,3]",10,"[1,2,3,4]","[4,1,8,3]","[1,3,4,8]",n4_o025_r0650,4,"[1,2,3,4]",5,3
16,"[3,2,1,4]",10,"[1,2,3,4]","[4,3,1,8]","[1,3,4,8]",n4_o025_r0651,4,"[1,2,3,4]",5,3
16,"[4,2,1,3]",10,"[1,2,3,4]","[4,3,8,1]","[1,3,4,8]",n4_o025_r0652,4,"[1,2,3,4]",5,3
16,"[3,4,1,2]",10,"[1,2,3,4]","[4,8,1,3]","[1,3,4,8]",n4_o025_r0653,4,"[1,2,3,4]",5,3
16,"[4,3,1,2]",10,"[1,2,3,4]","[4,8,3,1]","[1,3,4,8]",n4_o025_r0654,4,"[1,2,3,4]",5,3
16,"[2,3,4,1]",10,"[1,2,3,4]","[8,1,3,4]","[1,3,4,8]",n4_o025_r0655,4,"[1,2,3,4]",5,3
16,"[2,4,3,1]",10,"[1,2,3,4]","[8,1,4,3]","[1,3,4,8]",n4_o025_r0656,4,"[1,2,3,4]",5,3
16,"[3,2,4,1]",10,"[1,2,3,4]","[8,3,1,4]","[1,3,4,8]",n4_o025_r0657,4,"[1,2,3,4]",5,3
16,"[4,2,3,1]",10,"[1,2,3,4]","[8,3,4,1]","[1,3,4,8]",n4_o025_r0658,4,"[1,2,3,4]",5,3
16,"[3,4,2,1]",10,"[1,2,3,4]","[8,4,1,3]","[1,3,4,8]",n4_o025_r0659,4,"[1,2,3,4]",5,3
16,"[4,3,2,1]",10,"[1,2,3,4]","[8,4,3,1]","[1,3,4,8]",n4_o025_r0660,4,"[1,2,3,4]",5,3
17,"[1,2,3,4]",10,"[1,2,3,4]","[1,3,4,9]","[1,3,4,9]",n4_o026_r0661,4,"[1,2,3,4]",40,23
17,"[1,2,4,3]",10,"[1,2,3,4]","[1,3,9,4]","[1,3,4,9]",n4_o026_r0662,4,"[1,2,3,4]",40,23
17,"[1,3,2,4]",10,"[1,2,3,4]","[1,4,3,9]","[1,3,4,9]",n4_o026_r0663,4,"[1,2,3,4]",40,23
17,"[1,4,2,3]",10,"[1,2,3,4]","[1,4,9,3]","[1,3,4,9]",n4_o026_r0664,4,"[1,2,3,4]",40,23
17,"[1,3,4,2]",10,"[1,2,3,4]","[1,9,3,4]","[1,3,4,9]",n4_o026_r0665,4,"[1,2,3,4]",40,23
17,"[1,4,3,2]",10,"[1,2,3,4]","[1,9,4,3]","[1,3,4,9]",n4_o026_r0666,4,"[1,2,3,4]",40,23
17,"[2,1,3,4]",10,"[1,2,3,4]","[3,1,4,9]","[1,3,4,9]",n4_o026_r0667,4,"[1,2,3,4]",40,23
17,"[2,1,4,3]",10,"[1,2,3,4]","[3,1,9,4]","[1,3,4,9]",n4_o026_r0668,4,"[1,2,3,4]",40,23
17,"[3,1,2,4]",10,"[1,2,3,4]","[3,4,1,9]","[1,3,4,9]",n4_o026_r0669,4,"[1,2,3,4]",40,23
17,"[4,1,2,3]",10,"[1,2,3,4]","[3,4,9,1]","[1,3,4,9]",n4_o026_r0670,4,"[1,2,3,4]",40,23
17,"[3,1,4,2]",10,"[1,2,3,4]","[3,9,1,4]","[1,3,4,9]",n4_o026_r0671,4,"[1,2,3,4]",40,23
17,"[4,1,3,2]",10,"[1,2,3,4]","[3,9,4,1]","[1,3,4,9]",n4_o026_r0672,4,"[1,2,3,4]",40,23
17,"[2,3,1,4]",10,"[1,2,3,4]","[4,1,3,9]","[1,3,4,9]",n4_o026_r0673,4,"[1,2,3,4]",40,23
17,"[2,4,1,3]",10,"[1,2,3,4]","[4,1,9,3]","[1,3,4,9]",n4_o026_r0674,4,"[1,2,3,4]",40,23
17,"[3,2,1,4]",10,"[1,2,3,4]","[4,3,1,9]","[1,3,4,9]",n4_o026_r0675,4,"[1,2,3,4]",40,23
17,"[4,2,1,3]",10,"[1,2,3,4]","[4,3,9,1]","[1,3,4,9]",n4_o026_r0676,4,"[1,2,3,4]",40,23
17,"[3,4,1,2]",10,"[1,2,3,4]","[4,9,1,3]","[1,3,4,9]",n4_o026_r0677,4,"[1,2,3,4]",40,23
17,"[4,3,1,2]",10,"[1,2,3,4]","[4,9,3,1]","[1,3,4,9]",n4_o026_r0678,4,"[1,2,3,4]",40,23
17,"[2,3,4,1]",10,"[1,2,3,4]","[9,1,3,4]","[1,3,4,9]",n4_o026_r0679,4,"[1,2,3,4]",40,23
17,"[2,4,3,1]",10,"[1,2,3,4]","[9,1,4,3]","[1,3,4,9]",n4_o026_r0680,4,"[1,2,3,4]",40,23
17,"[3,2,4,1]",10,"[1,2,3,4]","[9,3,1,4]","[1,3,4,9]",n4_o026_r0681,4,"[1,2,3,4]",40,23
17,"[4,2,3,1]",10,"[1,2,3,4]","[9,3,4,1]","[1,3,4,9]",n4_o026_r0682,4,"[1,2,3,4]",40,23
17,"[3,4,2,1]",10,"[1,2,3,4]","[9,4,1,3]","[1,3,4,9]",n4_o026_r0683,4,"[1,2,3,4]",40,23
17,"[4,3,2,1]",10,"[1,2,3,4]","[9,4,3,1]","[1,3,4,9]",n4_o026_r0684,4,"[1,2,3,4]",40,23
15,"[1,2,3,4]",10,"[1,2,3,4]","[1,3,5,6]","[1,3,5,6]",n4_o027_r0685,4,"[1,2,3,4]",8,5
15,"[1,2,4,3]",10,"[1,2,3,4]","[1,3,6,5]","[1,3,5,6]",n4_o027_r0686,4,"[1,2,3,4]",8,5
15,"[1,3,2,4]",10,"[1,2,3,4]","[1,5,3,6]","[1,3,5,6]",n4_o027_r0687,4,"[1,2,3,4]",8,5
15,"[1,4,2,3]",10,"[1,2,3,4]","[1,5,6,3]","[1,3,5,6]",n4_o027_r0688,4,"[1,2,3,4]",8,5
15,"[1,3,4,2]",10,"[1,2,3,4]","[1,6,3,5]","[1,3,5,6]",n4_o027_r0689,4,"[1,2,3,4]",8,5
15,"[1,4,3,2]",10,"[1,2,3,4]","[1,6,5,3]","[1,3,5,6]",n4_o027_r0690,4,"[1,2,3,4]",8,5
15,"[2,1,3,4]",10,"[1,2,3,4]","[3,1,5,6]","[1,3,5,6]",n4_o027_r0691,4,"[1,2,3,4]",8,5
15,"[2,1,4,3]",10,"[1,2,3,4]","[3,1,6,5]","[1,3,5,6]",n4_o027_r0692,4,"[1,2,3,4]",8,5
15,"[3,1,2,4]",10,"[1,2,3,4]","[3,5,1,6]","[1,3,5,6]",n4_o027_r0693,4,"[1,2,3,4]",8,5
15,"[4,1,2,3]",10,"[1,2,3,4]","[3,5,6,1]","[1,3,5,6]",n4_o027_r0694,4,"[1,2,3,4]",8,5
15,"[3,1,4,2]",10,"[1,2,3,4]","[3,6,1,5]","[1,3,5,6]",n4_o027_r0695,4,"[1,2,3,4]",8,5
15,"[4,1,3,2]",10,"[1,2,3,4]","[3,6,5,1]","[1,3,5,6]",n4_o027_r0696,4,"[1,2,3,4]",8,5
15,"[2,3,1,4]",10,"[1,2,3,4]","[5,1,3,6]","[1,3,5,6]",n4_o027_r0697,4,"[1,2,3,4]",8,5
15,"[2,4,1,3]",10,"[1,2,3,4]","[5,1,6,3]","[1,3,5,6]",n4_o027_r0698,4,"[1,2,3,4]",8,5
15,"[3,2,1,4]",10,"[1,2,3,4]","[5,3,1,6]","[1,3,5,6]",n4_o027_r0699,4,"[1,2,3,4]",8,5
15,"[4,2,1,3]",10,"[1,2,3,4]","[5,3,6,1]","[1,3,5,6]",n4_o027_r0700,4,"[1,2,3,4]",8,5
15,"[3,4,1,2]",10,"[1,2,3,4]","[5,6,1,3]","[1,3,5,6]",n4_o027_r0701,4,"[1,2,3,4]",8,5
15,"[4,3,1,2]",10,"[1,2,3,4]","[5,6,3,1]","[1,3,5,6]",n4_o027_r0702,4,"[1,2,3,4]",8,5
15,"[2,3,4,1]",10,"[1,2,3,4]","[6,1,3,5]","[1,3,5,6]",n4_o027_r0703,4,"[1,2,3,4]",8,5
15,"[2,4,3,1]",10,"[1,2,3,4]","[6,1,5,3]","[1,3,5,6]",n4_o027_r0704,4,"[1,2,3,4]",8,5
15,"[3,2,4,1]",10,"[1,2,3,4]","[6,3,1,5]","[1,3,5,6]",n4_o027_r0705,4,"[1,2,3,4]",8,5
15,"[4,2,3,1]",10,"[1,2,3,4]","[6,3,5,1]","[1,3,5,6]",n4_o027_r0706,4,"[1,2,3,4]",8,5
15,"[3,4,2,1]",10,"[1,2,3,4]","[6,5,1,3]","[1,3,5,6]",n4_o027_r0707,4,"[1,2,3,4]",8,5
15,"[4,3,2,1]",10,"[1,2,3,4]","[6,5,3,1]","[1,3,5,6]",n4_o027_r0708,4,"[1,2,3,4]",8,5
16,"[1,2,3,4]",10,"[1,2,3,4]","[1,3,5,7]","[1,3,5,7]",n4_o028_r0709,4,"[1,2,3,4]",5,3
16,"[1,2,4,3]",10,"[1,2,3,4]","[1,3,7,5]","[1,3,5,7]",n4_o028_r0710,4,"[1,2,3,4]",5,3
16,"[1,3,2,4]",10,"[1,2,3,4]","[1,5,3,7]","[1,3,5,7]",n4_o028_r0711,4,"[1,2,3,4]",5,3
16,"[1,4,2,3]",10,"[1,2,3,4]","[1,5,7,3]","[1,3,5,7]",n4_o028_r0712,4,"[1,2,3,4]",5,3
16,"[1,3,4,2]",10,"[1,2,3,4]","[1,7,3,5]","[1,3,5,7]",n4_o028_r0713,4,"[1,2,3,4]",5,3
16,"[1,4,3,2]",10,"[1,2,3,4]","[1,7,5,3]","[1,3,5,7]",n4_o028_r0714,4,"[1,2,3,4]",5,3
16,"[2,1,3,4]",10,"[1,2,3,4]","[3,1,5,7]","[1,3,5,7]",n4_o028_r0715,4,"[1,2,3,4]",5,3
16,"[2,1,4,3]",10,"[1,2,3,4]","[3,1,7,5]","[1,3,5,7]",n4_o028_r0716,4,"[1,2,3,4]",5,3
16,"[3,1,2,4]",10,"[1,2,3,4]","[3,5,1,7]","[1,3,5,7]",n4_o028_r0717,4,"[1,2,3,4]",5,3
16,"[4,1,2,3]",10,"[1,2,3,4]","[3,5,7,1]","[1,3,5,7]",n4_o028_r0718,4,"[1,2,3,4]",5,3
16,"[3,1,4,2]",10,"[1,2,3,4]","[3,7,1,5]","[1,3,5,7]",n4_o028_r0719,4,"[1,2,3,4]",5,3
16,"[4,1,3,2]",10,"[1,2,3,4]","[3,7,5,1]","[1,3,5,7]",n4_o028_r0720,4,"[1,2,3,4]",5,3
16,"[2,3,1,4]",10,"[1,2,3,4]","[5,1,3,7]","[1,3,5,7]",n4_o028_r0721,4,"[1,2,3,4]",5,3
16,"[2,4,1,3]",10,"[1,2,3,4]","[5,1,7,3]","[1,3,5,7]",n4_o028_r0722,4,"[1,2,3,4]",5,3
16,"[3,2,1,4]",10,"[1,2,3,4]","[5,3,1,7]","[1,3,5,7]",n4_o028_r0723,4,"[1,2,3,4]",5,3
16,"[4,2,1,3]",10,"[1,2,3,4]","[5,3,7,1]","[1,3,5,7]",n4_o028_r0724,4,"[1,2,3,4]",5,3
16,"[3,4,1,2]",10,"[1,2,3,4]","[5,7,1,3]","[1,3,5,7]",n4_o028_r0725,4,"[1,2,3,4]",5,3
16,"[4,3,1,2]",10,"[1,2,3,4]","[5,7,3,1]","[1,3,5,7]",n4_o028_r0726,4,"[1,2,3,4]",5,3
16,"[2,3,4,1]",10,"[1,2,3,4]","[7,1,3,5]","[1,3,5,7]",n4_o028_r0727,4,"[1,2,3,4]",5,3
16,"[2,4,3,1]",10,"[1,2,3,4]","[7,1,5,3]","[1,3,5,7]",n4_o028_r0728,4,"[1,2,3,4]",5,3
16,"[3,2,4,1]",10,"[1,2,3,4]","[7,3,1,5]","[1,3,5,7]",n4_o028_r0729,4,"[1,2,3,4]",5,3
16,"[4,2,3,1]",10,"[1,2,3,4]","[7,3,5,1]","[1,3,5,7]",n4_o028_r0730,4,"[1,2,3,4]",5,3
16,"[3,4,2,1]",10,"[1,2,3,4]","[7,5,1,3]","[1,3,5,7]",n4_o028_r0731,4,"[1,2,3,4]",5,3
16,"[4,3,2,1]",10,"[1,2,3,4]","[7,5,3,1]","[1,3,5,7]",n4_o028_r0732,4,"[1,2,3,4]",5,3
17,"[1,2,3,4]",10,"[1,2,3,4]","[1,3,5,8]","[1,3,5,8]",n4_o029_r0733,4,"[1,2,3,4]",40,23
17,"[1,2,4,3]",10,"[1,2,3,4]","[1,3,8,5]","[1,3,5,8]",n4_o029_r0734,4,"[1,2,3,4]",40,23
17,"[1,3,2,4]",10,"[1,2,3,4]","[1,5,3,8]","[1,3,5,8]",n4_o029_r0735,4,"[1,2,3,4]",40,23
17,"[1,4,2,3]",10,"[1,2,3,4]","[1,5,8,3]","[1,3,5,8]",n4_o029_r0736,4,"[1,2,3,4]",40,23
17,"[1,3,4,2]",10,"[1,2,3,4]","[1,8,3,5]","[1,3,5,8]",n4_o029_r0737,4,"[1,2,3,4]",40,23
17,"[1,4,3,2]",10,"[1,2,3,4]","[1,8,5,3]","[1,3,5,8]",n4_o029_r0738,4,"[1,2,3,4]",40,23
17,"[2,1,3,4]",10,"[1,2,3,4]","[3,1,5,8]","[1,3,5,8]",n4_o029_r0739,4,"[1,2,3,4]",40,23
17,"[2,1,4,3]",10,"[1,2,3,4]","[3,1,8,5]","[1,3,5,8]",n4_o029_r0740,4,"[1,2,3,4]",40,23
17,"[3,1,2,4]",10,"[1,2,3,4]","[3,5,1,8]","[1,3,5,8]",n4_o029_r0741,4,"[1,2,3,4]",40,23
17,"[4,1,2,3]",10,"[1,2,3,4]","[3,5,8,1]","[1,3,5,8]",n4_o029_r0742,4,"[1,2,3,4]",40,23
17,"[3,1,4,2]",10,"[1,2,3,4]","[3,8,1,5]","[1,3,5,8]",n4_o029_r0743,4,"[1,2,3,4]",40,23
17,"[4,1,3,2]",10,"[1,2,3,4]","[3,8,5,1]","[1,3,5,8]",n4_o029_r0744,4,"[1,2,3,4]",40,23
17,"[2,3,1,4]",10,"[1,2,3,4]","[5,1,3,8]","[1,3,5,8]",n4_o029_r0745,4,"[1,2,3,4]",40,23
17,"[2,4,1,3]",10,"[1,2,3,4]","[5,1,8,3]","[1,3,5,8]",n4_o029_r0746,4,"[1,2,3,4]",40,23
17,"[3,2,1,4]",10,"[1,2,3,4]","[5,3,1,8]","[1,3,5,8]",n4_o029_r0747,4,"[1,2,3,4]",40,23
17,"[4,2,1,3]",10,"[1,2,3,4]","[5,3,8,1]","[1,3,5,8]",n4_o029_r0748,4,"[1,2,3,4]",40,23
17,"[3,4,1,2]",10,"[1,2,3,4]","[5,8,1,3]","[1,3,5,8]",n4_o029_r0749,4,"[1,2,3,4]",40,23
17,"[4,3,1,2]",10,"[1,2,3,4]","[5,8,3,1]","[1,3,5,8]",n4_o029_r0750,4,"[1,2,3,4]",40,23
17,"[2,3,4,1]",10,"[1,2,3,4]","[8,1,3,5]","[1,3,5,8]",n4_o029_r0751,4,"[1,2,3,4]",40,23
17,"[2,4,3,1]",10,"[1,2,3,4]","[8,1,5,3]","[1,3,5,8]",n4_o029_r0752,4,"[1,2,3,4]",40,23
17,"[3,2,4,1]",10,"[1,2,3,4]","[8,3,1,5]","[1,3,5,8]",n4_o029_r0753,4,"[1,2,3,4]",40,23
17,"[4,2,3,1]",10,"[1,2,3,4]","[8,3,5,1]","[1,3,5,8]",n4_o029_r0754,4,"[1,2,3,4]",40,23
17,"[3,4,2,1]",10,"[1,2,3,4]","[8,5,1,3]","[1,3,5,8]",n4_o029_r0755,4,"[1,2,3,4]",40,23
17,"[4,3,2,1]",10,"[1,2,3,4]","[8,5,3,1]","[1,3,5,8]",n4_o029_r0756,4,"[1,2,3,4]",40,23
18,"[1,2,3,4]",10,"[1,2,3,4]","[1,3,5,9]","[1,3,5,9]",n4_o030_r0757,4,"[1,2,3,4]",20,11
18,"[1,2,4,3]",10,"[1,2,3,4]","[1,3,9,5]","[1,3,5,9]",n4_o030_r0758,4,"[1,2,3,4]",20,11
18,"[1,3,2,4]",10,"[1,2,3,4]","[1,5,3,9]","[1,3,5,9]",n4_o030_r0759,4,"[1,2,3,4]",20,11
18,"[1,4,2,3]",10,"[1,2,3,4]","[1,5,9,3]","[1,3,5,9]",n4_o030_r0760,4,"[1,2,3,4]",20,11
18,"[1,3,4,2]",10,"[1,2,3,4]","[1,9,3,5]","[1,3,5,9]",n4_o030_r0761,4,"[1,2,3,4]",20,11
18,"[1,4,3,2]",10,"[1,2,3,4]","[1,9,5,3]","[1,3,5,9]",n4_o030_r0762,4,"[1,2,3,4]",20,11
18,"[2,1,3,4]",10,"[1,2,3,4]","[3,1,5,9]","[1,3,5,9]",n4_o030_r0763,4,"[1,2,3,4]",20,11
18,"[2,1,4,3]",10,"[1,2,3,4]","[3,1,9,5]","[1,3,5,9]",n4_o030_r0764,4,"[1,2,3,4]",20,11
18,"[3,1,2,4]",10,"[1,2,3,4]","[3,5,1,9]","[1,3,5,9]",n4_o030_r0765,4,"[1,2,3,4]",20,11
18,"[4,1,2,3]",10,"[1,2,3,4]","[3,5,9,1]","[1,3,5,9]",n4_o030_r0766,4,"[1,2,3,4]",20,11
18,"[3,1,4,2]",10,"[1,2,3,4]","[3,9,1,5]","[1,3,5,9]",n4_o030_r0767,4,"[1,2,3,4]",20,11
18,"[4,1,3,2]",10,"[1,2,3,4]","[3,9,5,1]","[1,3,5,9]",n4_o030_r0768,4,"[1,2,3,4]",20,11
18,"[2,3,1,4]",10,"[1,2,3,4]","[5,1,3,9]","[1,3,5,9]",n4_o030_r0769,4,"[1,2,3,4]",20,11
18,"[2,4,1,3]",10,"[1,2,3,4]","[5,1,9,3]","[1,3,5,9]",n4_o030_r0770,4,"[1,2,3,4]",20,11
18,"[3,2,1,4]",10,"[1,2,3,4]","[5,3,1,9]","[1,3,5,9]",n4_o030_r0771,4,"[1,2,3,4]",20,11
18,"[4,2,1,3]",10,"[1,2,3,4]","[5,3,9,1]","[1,3,5,9]",n4_o030_r0772,4,"[1,2,3,4]",20,11
18,"[3,4,1,2]",10,"[1,2,3,4]","[5,9,1,3]","[1,3,5,9]",n4_o030_r0773,4,"[1,2,3,4]",20,11
18,"[4,3,1,2]",10,"[1,2,3,4]","[5,9,3,1]","[1,3,5,9]",n4_o030_r0774,4,"[1,2,3,4]",20,11
18,"[2,3,4,1]",10,"[1,2,3,4]","[9,1,3,5]","[1,3,5,9]",n4_o030_r0775,4,"[1,2,3,4]",20,11
18,"[2,4,3,1]",10,"[1,2,3,4]","[9,1,5,3]","[1,3,5,9]",n4_o030_r0776,4,"[1,2,3,4]",20,11
18,"[3,2,4,1]",10,"[1,2,3,4]","[9,3,1,5]","[1,3,5,9]",n4_o030_r0777,4,"[1,2,3,4]",20,11
18,"[4,2,3,1]",10,"[1,2,3,4]","[9,3,5,1]","[1,3,5,9]",n4_o030_r0778,4,"[1,2,3,4]",20,11
18,"[3,4,2,1]",10,"[1,2,3,4]","[9,5,1,3]","[1,3,5,9]",n4_o030_r0779,4,"[1,2,3,4]",20,11
18,"[4,3,2,1]",10,"[1,2,3,4]","[9,5,3,1]","[1,3,5,9]",n4_o030_r0780,4,"[1,2,3,4]",20,11
17,"[1,2,3,4]",10,"[1,2,3,4]","[1,3,6,7]","[1,3,6,7]",n4_o031_r0781,4,"[1,2,3,4]",40,23
17,"[1,2,4,3]",10,"[1,2,3,4]","[1,3,7,6]","[1,3,6,7]",n4_o031_r0782,4,"[1,2,3,4]",40,23
17,"[1,3,2,4]",10,"[1,2,3,4]","[1,6,3,7]","[1,3,6,7]",n4_o031_r0783,4,"[1,2,3,4]",40,23
17,"[1,4,2,3]",10,"[1,2,3,4]","[1,6,7,3]","[1,3,6,7]",n4_o031_r0784,4,"[1,2,3,4]",40,23
17,"[1,3,4,2]",10,"[1,2,3,4]","[1,7,3,6]","[1,3,6,7]",n4_o031_r0785,4,"[1,2,3,4]",40,23
17,"[1,4,3,2]",10,"[1,2,3,4]","[1,7,6,3]","[1,3,6,7]",n4_o031_r0786,4,"[1,2,3,4]",40,23
17,"[2,1,3,4]",10,"[1,2,3,4]","[3,1,6,7]","[1,3,6,7]",n4_o031_r0787,4,"[1,2,3,4]",40,23
17,"[2,1,4,3]",10,"[1,2,3,4]","[3,1,7,6]","[1,3,6,7]",n4_o031_r0788,4,"[1,2,3,4]",40,23
17,"[3,1,2,4]",10,"[1,2,3,4]","[3,6,1,7]","[1,3,6,7]",n4_o031_r0789,4,"[1,2,3,4]",40,23
17,"[4,1,2,3]",10,"[1,2,3,4]","[3,6,7,1]","[1,3,6,7]",n4_o031_r0790,4,"[1,2,3,4]",40,23
17,"[3,1,4,2]",10,"[1,2,3,4]","[3,7,1,6]","[1,3,6,7]",n4_o031_r0791,4,"[1,2,3,4]",40,23
17,"[4,1,3,2]",10,"[1,2,3,4]","[3,7,6,1]","[1,3,6,7]",n4_o031_r0792,4,"[1,2,3,4]",40,23
17,"[2,3,1,4]",10,"[1,2,3,4]","[6,1,3,7]","[1,3,6,7]",n4_o031_r0793,4,"[1,2,3,4]",40,23
17,"[2,4,1,3]",10,"[1,2,3,4]","[6,1,7,3]","[1,3,6,7]",n4_o031_r0794,4,"[1,2,3,4]",40,23
17,"[3,2,1,4]",10,"[1,2,3,4]","[6,3,1,7]","[1,3,6,7]",n4_o031_r0795,4,"[1,2,3,4]",40,23
17,"[4,2,1,3]",10,"[1,2,3,4]","[6,3,7,1]","[1,3,6,7]",n4_o031_r0796,4,"[1,2,3,4]",40,23
17,"[3,4,1,2]",10,"[1,2,3,4]","[6,7,1,3]","[1,3,6,7]",n4_o031_r0797,4,"[1,2,3,4]",40,23
17,"[4,3,1,2]",10,"[1,2,3,4]","[6,7,3,1]","[1,3,6,7]",n4_o031_r0798,4,"[1,2,3,4]",40,23
17,"[2,3,4,1]",10,"[1,2,3,4]","[7,1,3,6]","[1,3,6,7]",n4_o031_r0799,4,"[1,2,3,4]",40,23
17,"[2,4,3,1]",10,"[1,2,3,4]","[7,1,6,3]","[1,3,6,7]",n4_o031_r0800,4,"[1,2,3,4]",40,23
17,"[3,2,4,1]",10,"[1,2,3,4]","[7,3,1,6]","[1,3,6,7]",n4_o031_r0801,4,"[1,2,3,4]",40,23
17,"[4,2,3,1]",10,"[1,2,3,4]","[7,3,6,1]","[1,3,6,7]",n4_o031_r0802,4,"[1,2,3,4]",40,23
17,"[3,4,2,1]",10,"[1,2,3,4]","[7,6,1,3]","[1,3,6,7]",n4_o031_r0803,4,"[1,2,3,4]",40,23
17,"[4,3,2,1]",10,"[1,2,3,4]","[7,6,3,1]","[1,3,6,7]",n4_o031_r0804,4,"[1,2,3,4]",40,23
18,"[1,2,3,4]",10,"[1,2,3,4]","[1,3,6,8]","[1,3,6,8]",n4_o032_r0805,4,"[1,2,3,4]",20,11
18,"[1,2,4,3]",10,"[1,2,3,4]","[1,3,8,6]","[1,3,6,8]",n4_o032_r0806,4,"[1,2,3,4]",20,11
18,"[1,3,2,4]",10,"[1,2,3,4]","[1,6,3,8]","[1,3,6,8]",n4_o032_r0807,4,"[1,2,3,4]",20,11
18,"[1,4,2,3]",10,"[1,2,3,4]","[1,6,8,3]","[1,3,6,8]",n4_o032_r0808,4,"[1,2,3,4]",20,11
18,"[1,3,4,2]",10,"[1,2,3,4]","[1,8,3,6]","[1,3,6,8]",n4_o032_r0809,4,"[1,2,3,4]",20,11
18,"[1,4,3,2]",10,"[1,2,3,4]","[1,8,6,3]","[1,3,6,8]",n4_o032_r0810,4,"[1,2,3,4]",20,11
18,"[2,1,3,4]",10,"[1,2,3,4]","[3,1,6,8]","[1,3,6,8]",n4_o032_r0811,4,"[1,2,3,4]",20,11
18,"[2,1,4,3]",10,"[1,2,3,4]","[3,1,8,6]","[1,3,6,8]",n4_o032_r0812,4,"[1,2,3,4]",20,11
18,"[3,1,2,4]",10,"[1,2,3,4]","[3,6,1,8]","[1,3,6,8]",n4_o032_r0813,4,"[1,2,3,4]",20,11
18,"[4,1,2,3]",10,"[1,2,3,4]","[3,6,8,1]","[1,3,6,8]",n4_o032_r0814,4,"[1,2,3,4]",20,11
18,"[3,1,4,2]",10,"[1,2,3,4]","[3,8,1,6]","[1,3,6,8]",n4_o032_r0815,4,"[1,2,3,4]",20,11
18,"[4,1,3,2]",10,"[1,2,3,4]","[3,8,6,1]","[1,3,6,8]",n4_o032_r0816,4,"[1,2,3,4]",20,11
18,"[2,3,1,4]",10,"[1,2,3,4]","[6,1,3,8]","[1,3,6,8]",n4_o032_r0817,4,"[1,2,3,4]",20,11
18,"[2,4,1,3]",10,"[1,2,3,4]","[6,1,8,3]","[1,3,6,8]",n4_o032_r0818,4,"[1,2,3,4]",20,11
18,"[3,2,1,4]",10,"[1,2,3,4]","[6,3,1,8]","[1,3,6,8]",n4_o032_r0819,4,"[1,2,3,4]",20,11
18,"[4,2,1,3]",10,"[1,2,3,4]","[6,3,8,1]","[1,3,6,8]",n4_o032_r0820,4,"[1,2,3,4]",20,11
18,"[3,4,1,2]",10,"[1,2,3,4]","[6,8,1,3]","[1,3,6,8]",n4_o032_r0821,4,"[1,2,3,4]",20,11
18,"[4,3,1,2]",10,"[1,2,3,4]","[6,8,3,1]","[1,3,6,8]",n4_o032_r0822,4,"[1,2,3,4]",20,11
18,"[2,3,4,1]",10,"[1,2,3,4]","[8,1,3,6]","[1,3,6,8]",n4_o032_r0823,4,"[1,2,3,4]",20,11
18,"[2,4,3,1]",10,"[1,2,3,4]","[8,1,6,3]","[1,3,6,8]",n4_o032_r0824,4,"[1,2,3,4]",20,11
18,"[3,2,4,1]",10,"[1,2,3,4]","[8,3,1,6]","[1,3,6,8]",n4_o032_r0825,4,"[1,2,3,4]",20,11
18,"[4,2,3,1]",10,"[1,2,3,4]","[8,3,6,1]","[1,3,6,8]",n4_o032_r0826,4,"[1,2,3,4]",20,11
18,"[3,4,2,1]",10,"[1,2,3,4]","[8,6,1,3]","[1,3,6,8]",n4_o032_r0827,4,"[1,2,3,4]",20,11
18,"[4,3,2,1]",10,"[1,2,3,4]","[8,6,3,1]","[1,3,6,8]",n4_o032_r0828,4,"[1,2,3,4]",20,11
19,"[1,2,3,4]",10,"[1,2,3,4]","[1,3,6,9]","[1,3,6,9]",n4_o033_r0829,4,"[1,2,3,4]",40,21
19,"[1,2,4,3]",10,"[1,2,3,4]","[1,3,9,6]","[1,3,6,9]",n4_o033_r0830,4,"[1,2,3,4]",40,21
19,"[1,3,2,4]",10,"[1,2,3,4]","[1,6,3,9]","[1,3,6,9]",n4_o033_r0831,4,"[1,2,3,4]",40,21
