Delta,class_id,completion,delta_j,due_date,instance_side,p_rank,schedule,sequence_position,tardiness
1,V2C00172,10,-3,7,high_EDD,2,EDD,4,3
0,V2C00183,1,-2,8,low_SPT,1,SPT,1,0
0,V2C00183,3,-2,2,low_SPT,2,SPT,2,1
0,V2C00183,6,3,1,low_SPT,3,SPT,3,5
0,V2C00183,10,1,4,low_SPT,4,SPT,4,6
1,V2C00183,1,-2,8,high_SPT,1,SPT,1,0
1,V2C00183,3,1,1,high_SPT,2,SPT,2,2
1,V2C00183,6,1,2,high_SPT,3,SPT,3,4
1,V2C00183,10,1,4,high_SPT,4,SPT,4,6
0,V2C00183,3,3,1,low_EDD,3,EDD,1,2
0,V2C00183,5,-2,2,low_EDD,2,EDD,2,3
0,V2C00183,9,1,4,low_EDD,4,EDD,3,5
0,V2C00183,10,-2,8,low_EDD,1,EDD,4,2
1,V2C00183,2,1,1,high_EDD,2,EDD,1,1
1,V2C00183,5,1,2,high_EDD,3,EDD,2,3
1,V2C00183,9,1,4,high_EDD,4,EDD,3,5
1,V2C00183,10,-2,8,high_EDD,1,EDD,4,2
-1,V2C00187,1,-2,4,low_SPT,1,SPT,1,0
-1,V2C00187,3,-2,2,low_SPT,2,SPT,2,1
-1,V2C00187,6,3,1,low_SPT,3,SPT,3,5
-1,V2C00187,10,0,8,low_SPT,4,SPT,4,2
0,V2C00187,1,-2,4,high_SPT,1,SPT,1,0
0,V2C00187,3,1,1,high_SPT,2,SPT,2,2
0,V2C00187,6,1,2,high_SPT,3,SPT,3,4
0,V2C00187,10,0,8,high_SPT,4,SPT,4,2
-1,V2C00187,3,3,1,low_EDD,3,EDD,1,2
-1,V2C00187,5,-2,2,low_EDD,2,EDD,2,3
-1,V2C00187,6,-2,4,low_EDD,1,EDD,3,2
-1,V2C00187,10,0,8,low_EDD,4,EDD,4,2
0,V2C00187,2,1,1,high_EDD,2,EDD,1,1
0,V2C00187,5,1,2,high_EDD,3,EDD,2,3
0,V2C00187,6,-2,4,high_EDD,1,EDD,3,2
0,V2C00187,10,0,8,high_EDD,4,EDD,4,2
-1,V2C00199,1,-2,4,low_SPT,1,SPT,1,0
-1,V2C00199,3,-2,2,low_SPT,2,SPT,2,1
-1,V2C00199,6,3,1,low_SPT,3,SPT,3,5
-1,V2C00199,10,0,9,low_SPT,4,SPT,4,1
0,V2C00199,1,-2,4,high_SPT,1,SPT,1,0
0,V2C00199,3,1,1,high_SPT,2,SPT,2,2
0,V2C00199,6,1,2,high_SPT,3,SPT,3,4
0,V2C00199,10,0,9,high_SPT,4,SPT,4,1
-1,V2C00199,3,3,1,low_EDD,3,EDD,1,2
-1,V2C00199,5,-2,2,low_EDD,2,EDD,2,3
-1,V2C00199,6,-2,4,low_EDD,1,EDD,3,2
-1,V2C00199,10,0,9,low_EDD,4,EDD,4,1
0,V2C00199,2,1,1,high_EDD,2,EDD,1,1
0,V2C00199,5,1,2,high_EDD,3,EDD,2,3
0,V2C00199,6,-2,4,high_EDD,1,EDD,3,2
0,V2C00199,10,0,9,high_EDD,4,EDD,4,1
-2,V2C00214,1,-4,6,low_SPT,1,SPT,1,0
-2,V2C00214,3,-2,2,low_SPT,2,SPT,2,1
-2,V2C00214,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00214,10,1,5,low_SPT,4,SPT,4,5
-1,V2C00214,1,-4,6,high_SPT,1,SPT,1,0
-1,V2C00214,3,1,1,high_SPT,2,SPT,2,2
-1,V2C00214,6,1,2,high_SPT,3,SPT,3,4
-1,V2C00214,10,1,5,high_SPT,4,SPT,4,5
-2,V2C00214,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00214,5,-2,2,low_EDD,2,EDD,2,3
-2,V2C00214,9,1,5,low_EDD,4,EDD,3,4
-2,V2C00214,10,-4,6,low_EDD,1,EDD,4,4
-1,V2C00214,2,1,1,high_EDD,2,EDD,1,1
-1,V2C00214,5,1,2,high_EDD,3,EDD,2,3
-1,V2C00214,9,1,5,high_EDD,4,EDD,3,4
-1,V2C00214,10,-4,6,high_EDD,1,EDD,4,4
-1,V2C00221,1,-2,2,low_SPT,1,SPT,1,0
-1,V2C00221,3,-4,6,low_SPT,2,SPT,2,0
-1,V2C00221,6,3,1,low_SPT,3,SPT,3,5
-1,V2C00221,10,2,5,low_SPT,4,SPT,4,5
0,V2C00221,1,0,1,high_SPT,1,SPT,1,0
0,V2C00221,3,-4,6,high_SPT,2,SPT,2,0
0,V2C00221,6,2,2,high_SPT,3,SPT,3,4
0,V2C00221,10,2,5,high_SPT,4,SPT,4,5
-1,V2C00221,3,3,1,low_EDD,3,EDD,1,2
-1,V2C00221,4,-2,2,low_EDD,1,EDD,2,2
-1,V2C00221,8,2,5,low_EDD,4,EDD,3,3
-1,V2C00221,10,-4,6,low_EDD,2,EDD,4,4
0,V2C00221,1,0,1,high_EDD,1,EDD,1,0
0,V2C00221,4,2,2,high_EDD,3,EDD,2,2
0,V2C00221,8,2,5,high_EDD,4,EDD,3,3
0,V2C00221,10,-4,6,high_EDD,2,EDD,4,4
-1,V2C00232,1,-3,7,low_SPT,1,SPT,1,0
-1,V2C00232,3,-2,2,low_SPT,2,SPT,2,1
-1,V2C00232,6,3,1,low_SPT,3,SPT,3,5
-1,V2C00232,10,1,5,low_SPT,4,SPT,4,5
0,V2C00232,1,-3,7,high_SPT,1,SPT,1,0
0,V2C00232,3,1,1,high_SPT,2,SPT,2,2
0,V2C00232,6,1,2,high_SPT,3,SPT,3,4
0,V2C00232,10,1,5,high_SPT,4,SPT,4,5
-1,V2C00232,3,3,1,low_EDD,3,EDD,1,2
-1,V2C00232,5,-2,2,low_EDD,2,EDD,2,3
-1,V2C00232,9,1,5,low_EDD,4,EDD,3,4
-1,V2C00232,10,-3,7,low_EDD,1,EDD,4,3
0,V2C00232,2,1,1,high_EDD,2,EDD,1,1
0,V2C00232,5,1,2,high_EDD,3,EDD,2,3
0,V2C00232,9,1,5,high_EDD,4,EDD,3,4
0,V2C00232,10,-3,7,high_EDD,1,EDD,4,3
0,V2C00236,1,-2,2,low_SPT,1,SPT,1,0
0,V2C00236,3,-3,7,low_SPT,2,SPT,2,0
0,V2C00236,6,3,1,low_SPT,3,SPT,3,5
0,V2C00236,10,2,5,low_SPT,4,SPT,4,5
1,V2C00236,1,0,1,high_SPT,1,SPT,1,0
1,V2C00236,3,-3,7,high_SPT,2,SPT,2,0
1,V2C00236,6,2,2,high_SPT,3,SPT,3,4
1,V2C00236,10,2,5,high_SPT,4,SPT,4,5
0,V2C00236,3,3,1,low_EDD,3,EDD,1,2
0,V2C00236,4,-2,2,low_EDD,1,EDD,2,2
0,V2C00236,8,2,5,low_EDD,4,EDD,3,3
0,V2C00236,10,-3,7,low_EDD,2,EDD,4,3
1,V2C00236,1,0,1,high_EDD,1,EDD,1,0
1,V2C00236,4,2,2,high_EDD,3,EDD,2,2
1,V2C00236,8,2,5,high_EDD,4,EDD,3,3
1,V2C00236,10,-3,7,high_EDD,2,EDD,4,3
0,V2C00245,1,-2,8,low_SPT,1,SPT,1,0
0,V2C00245,3,-2,2,low_SPT,2,SPT,2,1
0,V2C00245,6,3,1,low_SPT,3,SPT,3,5
0,V2C00245,10,1,5,low_SPT,4,SPT,4,5
1,V2C00245,1,-2,8,high_SPT,1,SPT,1,0
1,V2C00245,3,1,1,high_SPT,2,SPT,2,2
1,V2C00245,6,1,2,high_SPT,3,SPT,3,4
1,V2C00245,10,1,5,high_SPT,4,SPT,4,5
0,V2C00245,3,3,1,low_EDD,3,EDD,1,2
0,V2C00245,5,-2,2,low_EDD,2,EDD,2,3
0,V2C00245,9,1,5,low_EDD,4,EDD,3,4
0,V2C00245,10,-2,8,low_EDD,1,EDD,4,2
1,V2C00245,2,1,1,high_EDD,2,EDD,1,1
1,V2C00245,5,1,2,high_EDD,3,EDD,2,3
1,V2C00245,9,1,5,high_EDD,4,EDD,3,4
1,V2C00245,10,-2,8,high_EDD,1,EDD,4,2
-1,V2C00270,1,-3,7,low_SPT,1,SPT,1,0
-1,V2C00270,3,-2,2,low_SPT,2,SPT,2,1
-1,V2C00270,6,3,1,low_SPT,3,SPT,3,5
-1,V2C00270,10,1,6,low_SPT,4,SPT,4,4
0,V2C00270,1,-3,7,high_SPT,1,SPT,1,0
0,V2C00270,3,1,1,high_SPT,2,SPT,2,2
0,V2C00270,6,1,2,high_SPT,3,SPT,3,4
0,V2C00270,10,1,6,high_SPT,4,SPT,4,4
-1,V2C00270,3,3,1,low_EDD,3,EDD,1,2
-1,V2C00270,5,-2,2,low_EDD,2,EDD,2,3
-1,V2C00270,9,1,6,low_EDD,4,EDD,3,3
-1,V2C00270,10,-3,7,low_EDD,1,EDD,4,3
0,V2C00270,2,1,1,high_EDD,2,EDD,1,1
0,V2C00270,5,1,2,high_EDD,3,EDD,2,3
0,V2C00270,9,1,6,high_EDD,4,EDD,3,3
0,V2C00270,10,-3,7,high_EDD,1,EDD,4,3
0,V2C00273,1,-2,2,low_SPT,1,SPT,1,0
0,V2C00273,3,-3,7,low_SPT,2,SPT,2,0
0,V2C00273,6,3,1,low_SPT,3,SPT,3,5
0,V2C00273,10,2,6,low_SPT,4,SPT,4,4
1,V2C00273,1,0,1,high_SPT,1,SPT,1,0
1,V2C00273,3,-3,7,high_SPT,2,SPT,2,0
1,V2C00273,6,2,2,high_SPT,3,SPT,3,4
1,V2C00273,10,2,6,high_SPT,4,SPT,4,4
0,V2C00273,3,3,1,low_EDD,3,EDD,1,2
0,V2C00273,4,-2,2,low_EDD,1,EDD,2,2
0,V2C00273,8,2,6,low_EDD,4,EDD,3,2
0,V2C00273,10,-3,7,low_EDD,2,EDD,4,3
1,V2C00273,1,0,1,high_EDD,1,EDD,1,0
1,V2C00273,4,2,2,high_EDD,3,EDD,2,2
1,V2C00273,8,2,6,high_EDD,4,EDD,3,2
1,V2C00273,10,-3,7,high_EDD,2,EDD,4,3
0,V2C00281,1,-2,8,low_SPT,1,SPT,1,0
0,V2C00281,3,-2,2,low_SPT,2,SPT,2,1
0,V2C00281,6,3,1,low_SPT,3,SPT,3,5
0,V2C00281,10,1,6,low_SPT,4,SPT,4,4
1,V2C00281,1,-2,8,high_SPT,1,SPT,1,0
1,V2C00281,3,1,1,high_SPT,2,SPT,2,2
1,V2C00281,6,1,2,high_SPT,3,SPT,3,4
1,V2C00281,10,1,6,high_SPT,4,SPT,4,4
0,V2C00281,3,3,1,low_EDD,3,EDD,1,2
0,V2C00281,5,-2,2,low_EDD,2,EDD,2,3
0,V2C00281,9,1,6,low_EDD,4,EDD,3,3
0,V2C00281,10,-2,8,low_EDD,1,EDD,4,2
1,V2C00281,2,1,1,high_EDD,2,EDD,1,1
1,V2C00281,5,1,2,high_EDD,3,EDD,2,3
1,V2C00281,9,1,6,high_EDD,4,EDD,3,3
1,V2C00281,10,-2,8,high_EDD,1,EDD,4,2
0,V2C00309,1,-2,8,low_SPT,1,SPT,1,0
0,V2C00309,3,-2,2,low_SPT,2,SPT,2,1
0,V2C00309,6,3,1,low_SPT,3,SPT,3,5
0,V2C00309,10,1,7,low_SPT,4,SPT,4,3
1,V2C00309,1,-2,8,high_SPT,1,SPT,1,0
1,V2C00309,3,1,1,high_SPT,2,SPT,2,2
1,V2C00309,6,1,2,high_SPT,3,SPT,3,4
1,V2C00309,10,1,7,high_SPT,4,SPT,4,3
0,V2C00309,3,3,1,low_EDD,3,EDD,1,2
0,V2C00309,5,-2,2,low_EDD,2,EDD,2,3
0,V2C00309,9,1,7,low_EDD,4,EDD,3,2
0,V2C00309,10,-2,8,low_EDD,1,EDD,4,2
1,V2C00309,2,1,1,high_EDD,2,EDD,1,1
1,V2C00309,5,1,2,high_EDD,3,EDD,2,3
1,V2C00309,9,1,7,high_EDD,4,EDD,3,2
1,V2C00309,10,-2,8,high_EDD,1,EDD,4,2
0,V2C00362,1,-2,4,low_SPT,1,SPT,1,0
0,V2C00362,3,1,1,low_SPT,2,SPT,2,2
0,V2C00362,6,1,3,low_SPT,3,SPT,3,3
0,V2C00362,10,0,5,low_SPT,4,SPT,4,5
1,V2C00362,1,0,3,high_SPT,1,SPT,1,0
1,V2C00362,3,1,1,high_SPT,2,SPT,2,2
1,V2C00362,6,0,4,high_SPT,3,SPT,3,2
1,V2C00362,10,0,5,high_SPT,4,SPT,4,5
0,V2C00362,2,1,1,low_EDD,2,EDD,1,1
0,V2C00362,5,1,3,low_EDD,3,EDD,2,2
0,V2C00362,6,-2,4,low_EDD,1,EDD,3,2
0,V2C00362,10,0,5,low_EDD,4,EDD,4,5
1,V2C00362,2,1,1,high_EDD,2,EDD,1,1
1,V2C00362,3,0,3,high_EDD,1,EDD,2,0
1,V2C00362,6,0,4,high_EDD,3,EDD,3,2
1,V2C00362,10,0,5,high_EDD,4,EDD,4,5
0,V2C00895,1,-2,4,low_SPT,1,SPT,1,0
0,V2C00895,3,1,2,low_SPT,2,SPT,2,1
0,V2C00895,6,1,3,low_SPT,3,SPT,3,3
0,V2C00895,10,0,5,low_SPT,4,SPT,4,5
1,V2C00895,1,0,3,high_SPT,1,SPT,1,0
1,V2C00895,3,1,2,high_SPT,2,SPT,2,1
1,V2C00895,6,0,4,high_SPT,3,SPT,3,2
1,V2C00895,10,0,5,high_SPT,4,SPT,4,5
0,V2C00895,2,1,2,low_EDD,2,EDD,1,0
0,V2C00895,5,1,3,low_EDD,3,EDD,2,2
0,V2C00895,6,-2,4,low_EDD,1,EDD,3,2
0,V2C00895,10,0,5,low_EDD,4,EDD,4,5
1,V2C00895,2,1,2,high_EDD,2,EDD,1,0
1,V2C00895,3,0,3,high_EDD,1,EDD,2,0
1,V2C00895,6,0,4,high_EDD,3,EDD,3,2
1,V2C00895,10,0,5,high_EDD,4,EDD,4,5
