"EDD_prefix_t","I_forward","I_reverse","SPT_C_a","SPT_C_b","a_p_rank","b_p_rank","class_id","d_H","d_L","observed_delta_difference","panel","predicted_delta_difference","prediction_category","prediction_magnitude","prediction_matches"
"0","B_o009_r01381","B_o009_r01383","7","14","3","4","WP09C00716","3","1","3","B","3","positive","3","True"
"2","B_o009_r01347","B_o009_r01371","1","14","1","4","WP09C00718","5","3","4","B","4","positive","4","True"
"0","B_o009_r01411","B_o009_r01413","7","14","3","4","WP09C00722","3","1","3","B","3","positive","3","True"
"0","B_o009_r01343","B_o009_r01367","1","14","1","4","WP09C00726","3","1","4","B","4","positive","4","True"
"0","B_o009_r01340","B_o009_r01364","1","7","1","3","WP09C00728","3","1","1","B","1","positive","1","True"
"0","B_o009_r01337","B_o009_r01361","1","14","1","4","WP09C00734","3","1","4","B","4","positive","4","True"
"1","B_o009_r01339","B_o009_r01341","7","14","3","4","WP09C00738","5","3","3","B","3","positive","3","True"
"0","B_o009_r01339","B_o009_r01363","1","7","1","3","WP09C00738","3","1","1","B","1","positive","1","True"
"0","B_o009_r01341","B_o009_r01365","1","14","1","4","WP09C00738","3","1","4","B","4","positive","4","True"
"2","B_o009_r01393","B_o009_r01395","7","14","3","4","WP09C00740","5","3","3","B","3","positive","3","True"
"0","B_o009_r01393","B_o009_r01399","3","7","2","3","WP09C00740","3","1","2","B","2","positive","2","True"
"0","B_o009_r01395","B_o009_r01401","3","14","2","4","WP09C00740","3","1","5","B","5","positive","5","True"
"0","B_o009_r01405","B_o009_r01407","7","14","3","4","WP09C00741","3","1","3","B","3","positive","3","True"
"2","B_o009_r01346","B_o009_r01370","1","7","1","3","WP09C00742","5","3","1","B","1","positive","1","True"
"2","B_o009_r01349","B_o009_r01373","1","14","1","4","WP09C00749","5","3","4","B","4","positive","4","True"
"2","B_o009_r01417","B_o009_r01419","7","14","3","4","WP09C00750","5","3","3","B","3","positive","3","True"
"0","B_o009_r01417","B_o009_r01423","3","7","2","3","WP09C00750","3","1","2","B","2","positive","2","True"
"0","B_o009_r01419","B_o009_r01425","3","14","2","4","WP09C00750","3","1","5","B","5","positive","5","True"
"0","B_o009_r01418","B_o009_r01424","3","7","2","3","WP09C00753","3","1","2","B","2","positive","2","True"
"0","B_o010_r01507","B_o010_r01509","7","14","3","4","WP09C00759","3","1","3","B","3","positive","3","True"
"0","B_o010_r01514","B_o010_r01520","3","7","2","3","WP09C00760","3","1","2","B","2","positive","2","True"
"1","B_o010_r01445","B_o010_r01451","3","14","2","4","WP09C00763","5","3","3","B","3","positive","3","True"
"0","B_o010_r01451","B_o010_r01475","1","14","1","4","WP09C00763","3","1","4","B","4","positive","4","True"
"1","B_o010_r01443","B_o010_r01449","3","14","2","4","WP09C00770","5","3","3","B","3","positive","3","True"
"0","B_o010_r01449","B_o010_r01473","1","14","1","4","WP09C00770","3","1","4","B","4","positive","4","True"
"1","B_o010_r01453","B_o010_r01455","7","14","3","4","WP09C00771","5","3","3","B","3","positive","3","True"
"0","B_o010_r01453","B_o010_r01477","1","7","1","3","WP09C00771","3","1","1","B","1","positive","1","True"
"0","B_o010_r01455","B_o010_r01479","1","14","1","4","WP09C00771","3","1","4","B","4","positive","4","True"
"0","B_o010_r01454","B_o010_r01478","1","7","1","3","WP09C00773","3","1","1","B","1","positive","1","True"
"0","B_o010_r01501","B_o010_r01503","7","14","3","4","WP09C00776","3","1","3","B","3","positive","3","True"
"2","B_o010_r01465","B_o010_r01489","1","7","1","3","WP09C00777","5","3","1","B","1","positive","1","True"
"2","B_o010_r01467","B_o010_r01491","1","14","1","4","WP09C00782","5","3","4","B","4","positive","4","True"
"0","B_o010_r01460","B_o010_r01484","1","7","1","3","WP09C00787","3","1","1","B","1","positive","1","True"
"0","B_o010_r01517","B_o010_r01523","3","14","2","4","WP09C00788","3","1","5","B","5","positive","5","True"
"0","B_o010_r01457","B_o010_r01481","1","14","1","4","WP09C00793","3","1","4","B","4","positive","4","True"
"1","B_o010_r01459","B_o010_r01461","7","14","3","4","WP09C00797","5","3","3","B","3","positive","3","True"
"0","B_o010_r01459","B_o010_r01483","1","7","1","3","WP09C00797","3","1","1","B","1","positive","1","True"
"0","B_o010_r01461","B_o010_r01485","1","14","1","4","WP09C00797","3","1","4","B","4","positive","4","True"
"2","B_o010_r01513","B_o010_r01515","7","14","3","4","WP09C00799","5","3","3","B","3","positive","3","True"
"0","B_o010_r01513","B_o010_r01519","3","7","2","3","WP09C00799","3","1","2","B","2","positive","2","True"
"0","B_o010_r01515","B_o010_r01521","3","14","2","4","WP09C00799","3","1","5","B","5","positive","5","True"
"0","B_o010_r01525","B_o010_r01527","7","14","3","4","WP09C00800","3","1","3","B","3","positive","3","True"
"2","B_o010_r01466","B_o010_r01490","1","7","1","3","WP09C00801","5","3","1","B","1","positive","1","True"
"0","B_o010_r01463","B_o010_r01487","1","14","1","4","WP09C00806","3","1","4","B","4","positive","4","True"
"2","B_o010_r01469","B_o010_r01493","1","14","1","4","WP09C00807","5","3","4","B","4","positive","4","True"
"0","B_o011_r01627","B_o011_r01629","7","14","3","4","WP09C00814","3","1","3","B","3","positive","3","True"
"0","B_o011_r01669","B_o011_r01671","7","14","3","4","WP09C00815","3","1","3","B","3","positive","3","True"
"0","B_o011_r01634","B_o011_r01640","3","7","2","3","WP09C00816","3","1","2","B","2","positive","2","True"
"1","B_o011_r01565","B_o011_r01571","3","14","2","4","WP09C00821","5","3","3","B","3","positive","3","True"
"0","B_o011_r01571","B_o011_r01595","1","14","1","4","WP09C00821","3","1","4","B","4","positive","4","True"
"0","B_o011_r01569","B_o011_r01593","1","14","1","4","WP09C00827","3","1","4","B","4","positive","4","True"
"1","B_o011_r01573","B_o011_r01575","7","14","3","4","WP09C00830","5","3","3","B","3","positive","3","True"
"0","B_o011_r01573","B_o011_r01597","1","7","1","3","WP09C00830","3","1","1","B","1","positive","1","True"
"0","B_o011_r01575","B_o011_r01599","1","14","1","4","WP09C00830","3","1","4","B","4","positive","4","True"
"0","B_o011_r01574","B_o011_r01598","1","7","1","3","WP09C00833","3","1","1","B","1","positive","1","True"
"0","B_o011_r01621","B_o011_r01623","7","14","3","4","WP09C00836","3","1","3","B","3","positive","3","True"
"0","B_o011_r01580","B_o011_r01604","1","7","1","3","WP09C00848","3","1","1","B","1","positive","1","True"
"0","B_o011_r01637","B_o011_r01643","3","14","2","4","WP09C00849","3","1","5","B","5","positive","5","True"
"0","B_o011_r01577","B_o011_r01601","1","14","1","4","WP09C00854","3","1","4","B","4","positive","4","True"
"1","B_o011_r01579","B_o011_r01581","7","14","3","4","WP09C00859","5","3","3","B","3","positive","3","True"
"0","B_o011_r01579","B_o011_r01603","1","7","1","3","WP09C00859","3","1","1","B","1","positive","1","True"
"0","B_o011_r01581","B_o011_r01605","1","14","1","4","WP09C00859","3","1","4","B","4","positive","4","True"
"0","B_o011_r01661","B_o011_r01667","3","14","2","4","WP09C00861","3","1","5","B","5","positive","5","True"
"2","B_o011_r01633","B_o011_r01635","7","14","3","4","WP09C00862","5","3","3","B","3","positive","3","True"
"0","B_o011_r01633","B_o011_r01639","3","7","2","3","WP09C00862","3","1","2","B","2","positive","2","True"
"0","B_o011_r01635","B_o011_r01641","3","14","2","4","WP09C00862","3","1","5","B","5","positive","5","True"
"0","B_o011_r01645","B_o011_r01647","7","14","3","4","WP09C00863","3","1","3","B","3","positive","3","True"
"2","B_o011_r01586","B_o011_r01610","1","7","1","3","WP09C00864","5","3","1","B","1","positive","1","True"
"0","B_o011_r01583","B_o011_r01607","1","14","1","4","WP09C00871","3","1","4","B","4","positive","4","True"
"2","B_o011_r01589","B_o011_r01613","1","14","1","4","WP09C00872","5","3","4","B","4","positive","4","True"
"2","B_o011_r01657","B_o011_r01659","7","14","3","4","WP09C00873","5","3","3","B","3","positive","3","True"
"0","B_o011_r01657","B_o011_r01663","3","7","2","3","WP09C00873","3","1","2","B","2","positive","2","True"
"0","B_o011_r01659","B_o011_r01665","3","14","2","4","WP09C00873","3","1","5","B","5","positive","5","True"
"0","B_o011_r01658","B_o011_r01664","3","7","2","3","WP09C00877","3","1","2","B","2","positive","2","True"
"0","B_o012_r01747","B_o012_r01749","7","14","3","4","WP09C00883","3","1","3","B","3","positive","3","True"
"0","B_o012_r01789","B_o012_r01791","7","14","3","4","WP09C00884","3","1","3","B","3","positive","3","True"
"0","B_o012_r01754","B_o012_r01760","3","7","2","3","WP09C00885","3","1","2","B","2","positive","2","True"
"1","B_o012_r01685","B_o012_r01691","3","14","2","4","WP09C00890","5","3","3","B","3","positive","3","True"
"0","B_o012_r01691","B_o012_r01715","1","14","1","4","WP09C00890","3","1","4","B","4","positive","4","True"
"0","B_o012_r01689","B_o012_r01713","1","14","1","4","WP09C00896","3","1","4","B","4","positive","4","True"
"1","B_o012_r01693","B_o012_r01695","7","14","3","4","WP09C00899","5","3","3","B","3","positive","3","True"
"0","B_o012_r01693","B_o012_r01717","1","7","1","3","WP09C00899","3","1","1","B","1","positive","1","True"
"0","B_o012_r01695","B_o012_r01719","1","14","1","4","WP09C00899","3","1","4","B","4","positive","4","True"
"0","B_o012_r01694","B_o012_r01718","1","7","1","3","WP09C00902","3","1","1","B","1","positive","1","True"
"0","B_o012_r01741","B_o012_r01743","7","14","3","4","WP09C00905","3","1","3","B","3","positive","3","True"
"0","B_o012_r01700","B_o012_r01724","1","7","1","3","WP09C00917","3","1","1","B","1","positive","1","True"
"0","B_o012_r01757","B_o012_r01763","3","14","2","4","WP09C00918","3","1","5","B","5","positive","5","True"
"0","B_o012_r01697","B_o012_r01721","1","14","1","4","WP09C00923","3","1","4","B","4","positive","4","True"
"1","B_o012_r01699","B_o012_r01701","7","14","3","4","WP09C00928","5","3","3","B","3","positive","3","True"
"0","B_o012_r01699","B_o012_r01723","1","7","1","3","WP09C00928","3","1","1","B","1","positive","1","True"
"0","B_o012_r01701","B_o012_r01725","1","14","1","4","WP09C00928","3","1","4","B","4","positive","4","True"
"0","B_o012_r01781","B_o012_r01787","3","14","2","4","WP09C00930","3","1","5","B","5","positive","5","True"
"2","B_o012_r01753","B_o012_r01755","7","14","3","4","WP09C00931","5","3","3","B","3","positive","3","True"
"0","B_o012_r01753","B_o012_r01759","3","7","2","3","WP09C00931","3","1","2","B","2","positive","2","True"
"0","B_o012_r01755","B_o012_r01761","3","14","2","4","WP09C00931","3","1","5","B","5","positive","5","True"
"0","B_o012_r01765","B_o012_r01767","7","14","3","4","WP09C00932","3","1","3","B","3","positive","3","True"
"2","B_o012_r01706","B_o012_r01730","1","7","1","3","WP09C00933","5","3","1","B","1","positive","1","True"
"0","B_o012_r01703","B_o012_r01727","1","14","1","4","WP09C00940","3","1","4","B","4","positive","4","True"
"2","B_o012_r01709","B_o012_r01733","1","14","1","4","WP09C00941","5","3","4","B","4","positive","4","True"
"2","B_o012_r01777","B_o012_r01779","7","14","3","4","WP09C00942","5","3","3","B","3","positive","3","True"
"0","B_o012_r01777","B_o012_r01783","3","7","2","3","WP09C00942","3","1","2","B","2","positive","2","True"
"0","B_o012_r01779","B_o012_r01785","3","14","2","4","WP09C00942","3","1","5","B","5","positive","5","True"
"0","B_o012_r01778","B_o012_r01784","3","7","2","3","WP09C00946","3","1","2","B","2","positive","2","True"
"0","B_o013_r01867","B_o013_r01869","7","14","3","4","WP09C00952","3","1","3","B","3","positive","3","True"
"0","B_o013_r01909","B_o013_r01911","7","14","3","4","WP09C00953","3","1","3","B","3","positive","3","True"
"0","B_o013_r01874","B_o013_r01880","3","7","2","3","WP09C00954","3","1","2","B","2","positive","2","True"
"1","B_o013_r01805","B_o013_r01811","3","14","2","4","WP09C00960","5","3","3","B","3","positive","3","True"
"0","B_o013_r01811","B_o013_r01835","1","14","1","4","WP09C00960","3","1","4","B","4","positive","4","True"
"0","B_o013_r01809","B_o013_r01833","1","14","1","4","WP09C00968","3","1","4","B","4","positive","4","True"
"0","B_o013_r01814","B_o013_r01838","1","7","1","3","WP09C00973","3","1","1","B","1","positive","1","True"
"0","B_o013_r01891","B_o013_r01893","7","14","3","4","WP09C00989","3","1","3","B","3","positive","3","True"
"0","B_o013_r01820","B_o013_r01844","1","7","1","3","WP09C00991","3","1","1","B","1","positive","1","True"
"0","B_o013_r01877","B_o013_r01883","3","14","2","4","WP09C00992","3","1","5","B","5","positive","5","True"
"0","B_o013_r01817","B_o013_r01841","1","14","1","4","WP09C00999","3","1","4","B","4","positive","4","True"
"1","B_o013_r01819","B_o013_r01821","7","14","3","4","WP09C01004","5","3","3","B","3","positive","3","True"
"0","B_o013_r01819","B_o013_r01843","1","7","1","3","WP09C01004","3","1","1","B","1","positive","1","True"
"0","B_o013_r01821","B_o013_r01845","1","14","1","4","WP09C01004","3","1","4","B","4","positive","4","True"
"0","B_o013_r01901","B_o013_r01907","3","14","2","4","WP09C01006","3","1","5","B","5","positive","5","True"
"0","B_o013_r01915","B_o013_r01917","7","14","3","4","WP09C01007","3","1","3","B","3","positive","3","True"
"2","B_o013_r01826","B_o013_r01850","1","7","1","3","WP09C01008","5","3","1","B","1","positive","1","True"
"0","B_o013_r01861","B_o013_r01863","7","14","3","4","WP09C01015","3","1","3","B","3","positive","3","True"
"0","B_o013_r01823","B_o013_r01847","1","14","1","4","WP09C01017","3","1","4","B","4","positive","4","True"
"2","B_o013_r01829","B_o013_r01853","1","14","1","4","WP09C01018","5","3","4","B","4","positive","4","True"
"2","B_o013_r01897","B_o013_r01899","7","14","3","4","WP09C01019","5","3","3","B","3","positive","3","True"
"0","B_o013_r01897","B_o013_r01903","3","7","2","3","WP09C01019","3","1","2","B","2","positive","2","True"
"0","B_o013_r01899","B_o013_r01905","3","14","2","4","WP09C01019","3","1","5","B","5","positive","5","True"
"0","B_o013_r01898","B_o013_r01904","3","7","2","3","WP09C01023","3","1","2","B","2","positive","2","True"
"0","B_o013_r01815","B_o013_r01839","1","14","1","4","WP09C01026","3","1","4","B","4","positive","4","True"
"0","B_o014_r01987","B_o014_r01989","7","14","3","4","WP09C01030","3","1","3","B","3","positive","3","True"
"0","B_o014_r02029","B_o014_r02031","7","14","3","4","WP09C01031","3","1","3","B","3","positive","3","True"
"0","B_o014_r01994","B_o014_r02000","3","7","2","3","WP09C01032","3","1","2","B","2","positive","2","True"
"1","B_o014_r01925","B_o014_r01931","3","14","2","4","WP09C01038","5","3","3","B","3","positive","3","True"
"0","B_o014_r01931","B_o014_r01955","1","14","1","4","WP09C01038","3","1","4","B","4","positive","4","True"
"0","B_o014_r01929","B_o014_r01953","1","14","1","4","WP09C01046","3","1","4","B","4","positive","4","True"
"0","B_o014_r01934","B_o014_r01958","1","7","1","3","WP09C01051","3","1","1","B","1","positive","1","True"
"0","B_o014_r02011","B_o014_r02013","7","14","3","4","WP09C01067","3","1","3","B","3","positive","3","True"
"0","B_o014_r01940","B_o014_r01964","1","7","1","3","WP09C01069","3","1","1","B","1","positive","1","True"
"0","B_o014_r01997","B_o014_r02003","3","14","2","4","WP09C01070","3","1","5","B","5","positive","5","True"
"0","B_o014_r01937","B_o014_r01961","1","14","1","4","WP09C01077","3","1","4","B","4","positive","4","True"
"1","B_o014_r01939","B_o014_r01941","7","14","3","4","WP09C01082","5","3","3","B","3","positive","3","True"
"0","B_o014_r01939","B_o014_r01963","1","7","1","3","WP09C01082","3","1","1","B","1","positive","1","True"
"0","B_o014_r01941","B_o014_r01965","1","14","1","4","WP09C01082","3","1","4","B","4","positive","4","True"
"0","B_o014_r02021","B_o014_r02027","3","14","2","4","WP09C01084","3","1","5","B","5","positive","5","True"
"0","B_o014_r02035","B_o014_r02037","7","14","3","4","WP09C01085","3","1","3","B","3","positive","3","True"
"2","B_o014_r01946","B_o014_r01970","1","7","1","3","WP09C01086","5","3","1","B","1","positive","1","True"
"0","B_o014_r01981","B_o014_r01983","7","14","3","4","WP09C01093","3","1","3","B","3","positive","3","True"
"0","B_o014_r01943","B_o014_r01967","1","14","1","4","WP09C01095","3","1","4","B","4","positive","4","True"
"2","B_o014_r01949","B_o014_r01973","1","14","1","4","WP09C01096","5","3","4","B","4","positive","4","True"
"2","B_o014_r02017","B_o014_r02019","7","14","3","4","WP09C01097","5","3","3","B","3","positive","3","True"
"0","B_o014_r02017","B_o014_r02023","3","7","2","3","WP09C01097","3","1","2","B","2","positive","2","True"
"0","B_o014_r02019","B_o014_r02025","3","14","2","4","WP09C01097","3","1","5","B","5","positive","5","True"
"0","B_o014_r02018","B_o014_r02024","3","7","2","3","WP09C01101","3","1","2","B","2","positive","2","True"
"0","B_o014_r01935","B_o014_r01959","1","14","1","4","WP09C01104","3","1","4","B","4","positive","4","True"
"0","B_o015_r02107","B_o015_r02109","7","14","3","4","WP09C01107","3","1","3","B","3","positive","3","True"
"0","B_o015_r02149","B_o015_r02151","7","14","3","4","WP09C01109","3","1","3","B","3","positive","3","True"
"0","B_o015_r02114","B_o015_r02120","3","7","2","3","WP09C01110","3","1","2","B","2","positive","2","True"
"2","B_o015_r02113","B_o015_r02115","7","14","3","4","WP09C01114","5","3","3","B","3","positive","3","True"
"0","B_o015_r02113","B_o015_r02119","3","7","2","3","WP09C01114","3","1","2","B","2","positive","2","True"
"0","B_o015_r02115","B_o015_r02121","3","14","2","4","WP09C01114","3","1","5","B","5","positive","5","True"
"1","B_o015_r02045","B_o015_r02051","3","14","2","4","WP09C01115","5","3","3","B","3","positive","3","True"
"0","B_o015_r02051","B_o015_r02075","1","14","1","4","WP09C01115","3","1","4","B","4","positive","4","True"
"0","B_o015_r02049","B_o015_r02073","1","14","1","4","WP09C01121","3","1","4","B","4","positive","4","True"
"0","B_o015_r02054","B_o015_r02078","1","7","1","3","WP09C01124","3","1","1","B","1","positive","1","True"
"0","B_o015_r02131","B_o015_r02133","7","14","3","4","WP09C01133","3","1","3","B","3","positive","3","True"
"0","B_o015_r02117","B_o015_r02123","3","14","2","4","WP09C01135","3","1","5","B","5","positive","5","True"
"0","B_o015_r02057","B_o015_r02081","1","14","1","4","WP09C01139","3","1","4","B","4","positive","4","True"
"1","B_o015_r02059","B_o015_r02061","7","14","3","4","WP09C01142","5","3","3","B","3","positive","3","True"
"0","B_o015_r02059","B_o015_r02083","1","7","1","3","WP09C01142","3","1","1","B","1","positive","1","True"
"0","B_o015_r02061","B_o015_r02085","1","14","1","4","WP09C01142","3","1","4","B","4","positive","4","True"
"0","B_o015_r02125","B_o015_r02127","7","14","3","4","WP09C01144","3","1","3","B","3","positive","3","True"
"2","B_o015_r02066","B_o015_r02090","1","7","1","3","WP09C01148","5","3","1","B","1","positive","1","True"
"0","B_o015_r02101","B_o015_r02103","7","14","3","4","WP09C01153","3","1","3","B","3","positive","3","True"
"2","B_o015_r02069","B_o015_r02093","1","14","1","4","WP09C01155","5","3","4","B","4","positive","4","True"
"2","B_o015_r02137","B_o015_r02139","7","14","3","4","WP09C01157","5","3","3","B","3","positive","3","True"
"0","B_o015_r02137","B_o015_r02143","3","7","2","3","WP09C01157","3","1","2","B","2","positive","2","True"
"0","B_o015_r02139","B_o015_r02145","3","14","2","4","WP09C01157","3","1","5","B","5","positive","5","True"
"0","B_o015_r02055","B_o015_r02079","1","14","1","4","WP09C01158","3","1","4","B","4","positive","4","True"
"0","B_o016_r02251","B_o016_r02253","7","14","3","4","WP09C01162","3","1","3","B","3","positive","3","True"
"0","B_o016_r02234","B_o016_r02240","3","7","2","3","WP09C01164","3","1","2","B","2","positive","2","True"
"0","B_o016_r02168","B_o016_r02192","1","7","1","3","WP09C01166","3","1","1","B","1","positive","1","True"
"1","B_o016_r02165","B_o016_r02171","3","14","2","4","WP09C01168","7","3","1","B","1","positive","1","True"
"0","B_o016_r02171","B_o016_r02195","1","14","1","4","WP09C01168","3","1","4","B","4","positive","4","True"
"0","B_o016_r02179","B_o016_r02203","1","7","1","3","WP09C01172","3","1","1","B","1","positive","1","True"
"0","B_o016_r02258","B_o016_r02264","3","7","2","3","WP09C01173","3","1","2","B","2","positive","2","True"
"5","B_o016_r02167","B_o016_r02173","3","14","2","4","WP09C01174","9","7","3","B","3","positive","3","True"
"0","B_o016_r02167","B_o016_r02191","1","7","1","3","WP09C01174","3","1","1","B","1","positive","1","True"
"0","B_o016_r02173","B_o016_r02197","1","7","1","3","WP09C01174","3","1","1","B","1","positive","1","True"
"5","B_o016_r02191","B_o016_r02197","3","14","2","4","WP09C01174","9","7","3","B","3","positive","3","True"
"0","B_o016_r02174","B_o016_r02198","1","7","1","3","WP09C01175","3","1","1","B","1","positive","1","True"
"1","B_o016_r02163","B_o016_r02169","3","14","2","4","WP09C01176","7","3","1","B","1","positive","1","True"
"0","B_o016_r02169","B_o016_r02193","1","14","1","4","WP09C01176","3","1","4","B","4","positive","4","True"
"0","B_o016_r02221","B_o016_r02223","7","14","3","4","WP09C01178","3","1","3","B","3","positive","3","True"
"3","B_o016_r02185","B_o016_r02187","7","14","3","4","WP09C01180","9","7","1","B","1","positive","1","True"
"2","B_o016_r02187","B_o016_r02211","1","14","1","4","WP09C01180","7","3","2","B","2","positive","2","True"
"0","B_o016_r02257","B_o016_r02263","3","7","2","3","WP09C01181","3","1","2","B","2","positive","2","True"
"0","B_o016_r02210","B_o016_r02216","3","7","2","3","WP09C01185","3","1","2","B","2","positive","2","True"
"0","B_o016_r02180","B_o016_r02204","1","7","1","3","WP09C01187","3","1","1","B","1","positive","1","True"
"0","B_o016_r02177","B_o016_r02201","1","14","1","4","WP09C01191","3","1","4","B","4","positive","4","True"
"0","B_o016_r02209","B_o016_r02215","3","7","2","3","WP09C01194","3","1","2","B","2","positive","2","True"
"6","B_o016_r02209","B_o016_r02233","1","14","1","4","WP09C01194","9","7","4","B","4","positive","4","True"
"6","B_o016_r02215","B_o016_r02239","1","14","1","4","WP09C01194","9","7","4","B","4","positive","4","True"
"0","B_o016_r02233","B_o016_r02239","3","7","2","3","WP09C01194","3","1","2","B","2","positive","2","True"
"0","B_o016_r02183","B_o016_r02207","1","14","1","4","WP09C01199","3","1","4","B","4","positive","4","True"
"0","B_o016_r02227","B_o016_r02229","7","14","3","4","WP09C01201","3","1","3","B","3","positive","3","True"
"2","B_o016_r02189","B_o016_r02213","1","14","1","4","WP09C01205","7","3","2","B","2","positive","2","True"
"0","B_o017_r02347","B_o017_r02349","7","14","3","4","WP09C01208","3","1","3","B","3","positive","3","True"
"0","B_o017_r02354","B_o017_r02360","3","7","2","3","WP09C01209","3","1","2","B","2","positive","2","True"
"0","B_o017_r02288","B_o017_r02312","1","7","1","3","WP09C01211","3","1","1","B","1","positive","1","True"
"1","B_o017_r02285","B_o017_r02291","3","14","2","4","WP09C01212","7","3","1","B","1","positive","1","True"
"0","B_o017_r02291","B_o017_r02315","1","14","1","4","WP09C01212","3","1","4","B","4","positive","4","True"
"5","B_o017_r02287","B_o017_r02293","3","14","2","4","WP09C01219","9","7","3","B","3","positive","3","True"
"0","B_o017_r02287","B_o017_r02311","1","7","1","3","WP09C01219","3","1","1","B","1","positive","1","True"
"0","B_o017_r02293","B_o017_r02317","1","7","1","3","WP09C01219","3","1","1","B","1","positive","1","True"
"5","B_o017_r02311","B_o017_r02317","3","14","2","4","WP09C01219","9","7","3","B","3","positive","3","True"
"0","B_o017_r02294","B_o017_r02318","1","7","1","3","WP09C01220","3","1","1","B","1","positive","1","True"
"1","B_o017_r02283","B_o017_r02289","3","14","2","4","WP09C01221","7","3","1","B","1","positive","1","True"
"0","B_o017_r02289","B_o017_r02313","1","14","1","4","WP09C01221","3","1","4","B","4","positive","4","True"
"0","B_o017_r02341","B_o017_r02343","7","14","3","4","WP09C01223","3","1","3","B","3","positive","3","True"
"3","B_o017_r02305","B_o017_r02307","7","14","3","4","WP09C01224","9","7","1","B","1","positive","1","True"
"2","B_o017_r02307","B_o017_r02331","1","14","1","4","WP09C01224","7","3","2","B","2","positive","2","True"
"0","B_o017_r02371","B_o017_r02373","7","14","3","4","WP09C01228","3","1","3","B","3","positive","3","True"
"0","B_o017_r02303","B_o017_r02327","1","14","1","4","WP09C01230","3","1","4","B","4","positive","4","True"
"0","B_o017_r02300","B_o017_r02324","1","7","1","3","WP09C01231","3","1","1","B","1","positive","1","True"
"0","B_o017_r02330","B_o017_r02336","3","7","2","3","WP09C01232","3","1","2","B","2","positive","2","True"
"0","B_o017_r02297","B_o017_r02321","1","14","1","4","WP09C01238","3","1","4","B","4","positive","4","True"
"1","B_o017_r02299","B_o017_r02301","7","14","3","4","WP09C01242","7","3","3","B","3","positive","3","True"
"0","B_o017_r02299","B_o017_r02323","1","7","1","3","WP09C01242","3","1","1","B","1","positive","1","True"
"0","B_o017_r02301","B_o017_r02325","1","14","1","4","WP09C01242","3","1","4","B","4","positive","4","True"
"0","B_o017_r02329","B_o017_r02335","3","7","2","3","WP09C01244","3","1","2","B","2","positive","2","True"
"6","B_o017_r02329","B_o017_r02353","1","14","1","4","WP09C01244","9","7","4","B","4","positive","4","True"
"6","B_o017_r02335","B_o017_r02359","1","14","1","4","WP09C01244","9","7","4","B","4","positive","4","True"
"0","B_o017_r02353","B_o017_r02359","3","7","2","3","WP09C01244","3","1","2","B","2","positive","2","True"
"2","B_o017_r02309","B_o017_r02333","1","14","1","4","WP09C01250","7","3","2","B","2","positive","2","True"
"0","B_o018_r02467","B_o018_r02469","7","14","3","4","WP09C01255","3","1","3","B","3","positive","3","True"
"0","B_o018_r02509","B_o018_r02511","7","14","3","4","WP09C01256","3","1","3","B","3","positive","3","True"
"0","B_o018_r02474","B_o018_r02480","3","7","2","3","WP09C01257","3","1","2","B","2","positive","2","True"
"0","B_o018_r02408","B_o018_r02432","1","7","1","3","WP09C01261","3","1","1","B","1","positive","1","True"
"1","B_o018_r02405","B_o018_r02411","3","14","2","4","WP09C01262","7","3","1","B","1","positive","1","True"
"0","B_o018_r02411","B_o018_r02435","1","14","1","4","WP09C01262","3","1","4","B","4","positive","4","True"
"0","B_o018_r02515","B_o018_r02517","7","14","3","4","WP09C01264","3","1","3","B","3","positive","3","True"
"0","B_o018_r02413","B_o018_r02437","1","7","1","3","WP09C01271","3","1","1","B","1","positive","1","True"
"5","B_o018_r02431","B_o018_r02437","3","14","2","4","WP09C01271","9","7","3","B","3","positive","3","True"
"0","B_o018_r02414","B_o018_r02438","1","7","1","3","WP09C01272","3","1","1","B","1","positive","1","True"
"1","B_o018_r02403","B_o018_r02409","3","14","2","4","WP09C01273","7","3","1","B","1","positive","1","True"
"0","B_o018_r02409","B_o018_r02433","1","14","1","4","WP09C01273","3","1","4","B","4","positive","4","True"
"0","B_o018_r02461","B_o018_r02463","7","14","3","4","WP09C01276","3","1","3","B","3","positive","3","True"
"2","B_o018_r02427","B_o018_r02451","1","14","1","4","WP09C01277","7","3","2","B","2","positive","2","True"
"0","B_o018_r02491","B_o018_r02493","7","14","3","4","WP09C01281","3","1","3","B","3","positive","3","True"
"0","B_o018_r02423","B_o018_r02447","1","14","1","4","WP09C01284","3","1","4","B","4","positive","4","True"
"0","B_o018_r02420","B_o018_r02444","1","7","1","3","WP09C01285","3","1","1","B","1","positive","1","True"
"0","B_o018_r02450","B_o018_r02456","3","7","2","3","WP09C01286","3","1","2","B","2","positive","2","True"
"0","B_o018_r02417","B_o018_r02441","1","14","1","4","WP09C01292","3","1","4","B","4","positive","4","True"
"1","B_o018_r02419","B_o018_r02421","7","14","3","4","WP09C01296","7","3","3","B","3","positive","3","True"
"0","B_o018_r02419","B_o018_r02443","1","7","1","3","WP09C01296","3","1","1","B","1","positive","1","True"
"0","B_o018_r02421","B_o018_r02445","1","14","1","4","WP09C01296","3","1","4","B","4","positive","4","True"
"6","B_o018_r02455","B_o018_r02479","1","14","1","4","WP09C01298","9","7","4","B","4","positive","4","True"
"0","B_o018_r02473","B_o018_r02479","3","7","2","3","WP09C01298","3","1","2","B","2","positive","2","True"
